Pop_Name,yr,rec4,rec5,R,S
Bowron,1962,18822,2499,21321,3219
Bowron,1963,204973,9315,214288,11467
Bowron,1964,25416,2091,27507,690
Bowron,1965,16770,1029,17799,1170
Bowron,1966,21196,1053,22249,1151
Bowron,1967,193857,12513,206370,13991
Bowron,1968,37393,6150,43543,1710
Bowron,1969,16003,1208,17211,1936
Bowron,1970,15826,0,15826,497
Bowron,1971,124161,346,124507,10761
Bowron,1972,16860,111,16971,1969
Bowron,1973,10538,124,10662,2012
Bowron,1974,15702,1729,17431,1046
Bowron,1975,121742,634,122376,14735
Bowron,1976,7112,0,7112,1069
Bowron,1977,5875,9521,15396,1214
Bowron,1978,39903,724,40627,1678
Bowron,1979,15714,14270,29984,16178
Bowron,1980,39381,5789,45170,1376
Bowron,1981,14724,1808,16532,562
Bowron,1982,3066,2211,5277,990
Bowron,1983,36597,1535,38132,3484
Bowron,1984,44712,5879,50591,4909
Bowron,1985,16449,2728,19177,3030
Bowron,1986,20562,636,21198,1396
Bowron,1987,18171,4289,22460,5660
Bowron,1988,11669,1381,13050,7405
Bowron,1989,4945,7897,12842,1367
Bowron,1990,18847,12283,31130,5065
Bowron,1991,47542,1083,48625,2460
Bowron,1992,10556,2313,12869,1117
Bowron,1993,16961,3506,20467,592
Bowron,1994,6743,4106,10849,1845
Bowron,1995,25092,2259,27351,13467
Bowron,1996,20695,6081,26776,4055
Bowron,1997,1335,3689,5024,2119
Bowron,1998,11272,5729,17001,2830
Bowron,1999,19734,0,19734,3295
Bowron,2000,23887,1396,25283,6720
Bowron,2001,4433,2392,6825,2752
Bowron,2002,7279,395,7674,4505
Bowron,2003,3702,90,3792,3038
Bowron,2004,3008,3082,6090,458
Bowron,2005,1876,383,2259,866
Bowron,2006,14800,2635,17435,636
Bowron,2007,8345,20,8365,1075
Bowron,2008,234,548,782,275
Bowron,2009,4971,1141,6112,843
Bowron,2010,21678,3038,24716,4095
Bowron,2011,5187,93,5280,2037
Bowron,2012,186,0,186,30
Bowron,2013,367,138,505,1924
Bowron,2014,19451,54,19505,6252
Bowron,2015,18,88,106,2211
Bowron,2016,789,472,1261,72
Bowron,2017,4252,305,4557,122
Bowron,2018,6100,NA,NA,4846
Bowron,2019,NA,NA,NA,10
Bowron,2020,NA,NA,NA,172
Raft,1948,62653,684,63337,5524
Raft,1949,36748,2878,39626,2109
Raft,1950,39549,5990,45539,1917
Raft,1951,34636,13009,47645,3364
Raft,1952,46167,5010,51177,5116
Raft,1953,30285,1839,32124,3600
Raft,1954,38964,11293,50257,5352
Raft,1955,52497,7860,60357,2905
Raft,1956,17335,8029,25364,5179
Raft,1957,18932,2011,20943,3314
Raft,1958,22591,512,23103,6235
Raft,1959,20417,3167,23584,5232
Raft,1960,14715,2049,16764,2252
Raft,1961,22139,2154,24293,3014
Raft,1962,37568,2981,40549,4197
Raft,1963,9090,265,9355,2693
Raft,1964,40283,8228,48511,2666
Raft,1965,18867,1686,20553,2669
Raft,1966,20483,2736,23219,2666
Raft,1967,8226,1395,9621,358
Raft,1968,100888,5411,106299,3455
Raft,1969,10279,3710,13989,2577
Raft,1970,8300,523,8823,1205
Raft,1971,9570,2116,11686,223
Raft,1972,56973,761,57734,4507
Raft,1973,1616,7723,9339,1345
Raft,1974,11541,476,12017,1479
Raft,1975,5632,797,6429,1391
Raft,1976,18539,1331,19870,3976
Raft,1977,2728,3189,5917,198
Raft,1978,11888,6562,18450,1343
Raft,1979,1183,1856,3039,693
Raft,1980,47827,3784,51611,2056
Raft,1981,7366,1244,8610,312
Raft,1982,2509,1233,3742,1533
Raft,1983,2855,1196,4051,1821
Raft,1984,32692,14038,46730,6701
Raft,1985,2830,1591,4421,1922
Raft,1986,2902,111,3013,1080
Raft,1987,1399,2421,3820,723
Raft,1988,41783,8304,50087,9207
Raft,1989,7357,3935,11292,925
Raft,1990,1610,934,2544,412
Raft,1991,908,553,1461,264
Raft,1992,65321,2024,67345,4112
Raft,1993,22386,10727,33113,2934
Raft,1994,4738,22745,27483,800
Raft,1995,22745,4484,27229,682
Raft,1996,89315,22684,111999,21381
Raft,1997,25983,25281,51264,2367
Raft,1998,4905,11325,16230,3585
Raft,1999,26426,34631,61057,3499
Raft,2000,107671,7672,115343,27668
Raft,2001,79275,16425,95700,16025
Raft,2002,21369,21419,42788,8402
Raft,2003,2439,5930,8369,4890
Raft,2004,39136,8849,47985,3244
Raft,2005,6441,2454,8895,16967
Raft,2006,7183,9646,16829,3442
Raft,2007,6253,4462,10715,8064
Raft,2008,14908,3668,18576,3562
Raft,2009,20120,14989,35109,6039
Raft,2010,37692,5842,43534,2389
Raft,2011,17922,5338,23260,4430
Raft,2012,16751,4282,21033,1710
Raft,2013,2785,2522,5307,9045
Raft,2014,11188,934,12122,9471
Raft,2015,738,874,1612,8794
Raft,2016,5493,2849,8342,3753
Raft,2017,4460,2207,6667,2269
Raft,2018,6253,NA,NA,1756
Raft,2019,NA,NA,NA,362
Raft,2020,NA,NA,NA,2722
Quesnel,1948,618,0,618,48
Quesnel,1949,463409,0,463409,19210
Quesnel,1950,2014,0,2014,264
Quesnel,1951,413,0,413,9
Quesnel,1952,562,0,562,51
Quesnel,1953,604123,220,604343,47564
Quesnel,1954,10692,0,10692,146
Quesnel,1955,180,0,180,30
Quesnel,1956,1115,0,1115,39
Quesnel,1957,989580,144,989724,132852
Quesnel,1958,3362,23,3385,1269
Quesnel,1959,165,0,165,29
Quesnel,1960,1469,0,1469,123
Quesnel,1961,1195807,509,1196316,70000
Quesnel,1962,7257,0,7257,566
Quesnel,1963,956,0,956,40
Quesnel,1964,2812,0,2812,159
Quesnel,1965,1652107,821,1652928,105393
Quesnel,1966,7038,396,7434,1040
Quesnel,1967,1750,0,1750,24
Quesnel,1968,428,0,428,333
Quesnel,1969,1626582,7768,1634350,76565
Quesnel,1970,20339,0,20339,388
Quesnel,1971,747,0,747,16
Quesnel,1972,856,0,856,46
Quesnel,1973,2326864,3929,2330793,112414
Quesnel,1974,29304,1570,30874,2587
Quesnel,1975,1865,0,1865,105
Quesnel,1976,1233,0,1233,209
Quesnel,1977,3810786,54029,3864815,160717
Quesnel,1978,186073,10473,196546,4349
Quesnel,1979,2103,3908,6011,238
Quesnel,1980,2446,0,2446,98
Quesnel,1981,9553856,213188,9767044,332290
Quesnel,1982,499074,56312,555386,20054
Quesnel,1983,31515,8864,40379,1098
Quesnel,1984,6868,0,6868,551
Quesnel,1985,12137664,334171,12471835,692799
Quesnel,1986,2364628,168115,2532743,94792
Quesnel,1987,119437,57144,176581,11238
Quesnel,1988,26342,0,26342,4185
Quesnel,1989,10339444,280053,10619497,940432
Quesnel,1990,2946813,336236,3283049,259218
Quesnel,1991,100196,50671,150867,24861
Quesnel,1992,29213,0,29213,3046
Quesnel,1993,6446036,398551,6844587,1507350
Quesnel,1994,2263471,212902,2476373,356251
Quesnel,1995,119078,48228,167306,116867
Quesnel,1996,67906,19609,87515,21719
Quesnel,1997,4358762,318446,4677208,904914
Quesnel,1998,4467804,272015,4739819,534532
Quesnel,1999,581976,228610,810586,106908
Quesnel,2000,38143,15667,53810,37163
Quesnel,2001,3576455,115416,3691871,1740454
Quesnel,2002,603583,36207,639790,1312599
Quesnel,2003,82424,60604,143028,148235
Quesnel,2004,6545,5986,12531,6629
Quesnel,2005,198055,8017,206072,474956
Quesnel,2006,598192,47841,646033,90069
Quesnel,2007,72938,648,73586,33601
Quesnel,2008,727,6536,7263,2473
Quesnel,2009,296451,21900,318351,82781
Quesnel,2010,2497652,30937,2528589,131545
Quesnel,2011,35995,3922,39917,16936
Quesnel,2012,358,2285,2643,97
Quesnel,2013,141418,8479,149897,93727
Quesnel,2014,2130793,40005,2170798,430821
Quesnel,2015,5164,1133,6297,25749
Quesnel,2016,297,461,758,213
Quesnel,2017,120026,16228,136254,59636
Quesnel,2018,1766657,NA,NA,332730
Quesnel,2019,NA,NA,NA,14301
Quesnel,2020,NA,NA,NA,508
Chilko,1948,1643062,11182,1654244,364597
Chilko,1949,560635,10368,571003,33029
Chilko,1950,183278,4705,187983,6555
Chilko,1951,644911,20763,665674,57563
Chilko,1952,1763929,35975,1799904,233628
Chilko,1953,514554,14004,528558,94471
Chilko,1954,632132,4415,636547,21247
Chilko,1955,1407963,31011,1438974,75834
Chilko,1956,2379854,16684,2396538,368607
Chilko,1957,117362,3149,120511,83128
Chilko,1958,278320,13613,291933,70433
Chilko,1959,2080497,18659,2099156,272891
Chilko,1960,958877,5980,964857,244864
Chilko,1961,52713,11583,64296,15038
Chilko,1962,960609,13582,974191,42125
Chilko,1963,1112861,4045,1116906,57207
Chilko,1964,1818921,55810,1874731,131590
Chilko,1965,138555,2360,140915,20813
Chilko,1966,744469,27636,772105,107541
Chilko,1967,1933329,23351,1956680,90006
Chilko,1968,2349375,21925,2371300,181912
Chilko,1969,369954,15839,385793,25519
Chilko,1970,630046,1084,631130,50923
Chilko,1971,740253,0,740253,97365
Chilko,1972,1947465,34424,1981889,332353
Chilko,1973,200775,6807,207582,30231
Chilko,1974,641497,4312,645809,71127
Chilko,1975,1389008,7375,1396383,133782
Chilko,1976,1650944,25168,1676112,228326
Chilko,1977,190527,2743,193270,20385
Chilko,1978,1169034,77743,1246777,85570
Chilko,1979,1615466,72206,1687672,147920
Chilko,1980,3920494,473961,4394455,293234
Chilko,1981,180656,4547,185203,20164
Chilko,1982,1355953,131741,1487694,142515
Chilko,1983,1717330,36418,1753748,213715
Chilko,1984,500714,2890,503604,283152
Chilko,1985,366037,184400,550437,34979
Chilko,1986,4413216,279555,4692771,165504
Chilko,1987,4032356,316979,4349335,268111
Chilko,1988,2979547,157913,3137460,206206
Chilko,1989,3015024,86942,3101966,42811
Chilko,1990,2412516,178745,2591261,497991
Chilko,1991,1126703,128342,1255045,597537
Chilko,1992,1773513,78754,1852267,319959
Chilko,1993,3380892,548667,3929559,322298
Chilko,1994,1331935,72717,1404652,253976
Chilko,1995,1045307,179013,1224320,298027
Chilko,1996,1175834,159331,1335165,504469
Chilko,1997,663879,204615,868494,509298
Chilko,1998,423716,73801,497517,467624
Chilko,1999,1449980,109275,1559255,432565
Chilko,2000,424960,27152,452112,395559
Chilko,2001,1001606,89122,1090728,331244
Chilko,2002,1119367,106118,1225485,215050
Chilko,2003,321849,29357,351206,334896
Chilko,2004,388845,33231,422076,49193
Chilko,2005,262014,37748,299762,285065
Chilko,2006,4429045,339299,4768344,261918
Chilko,2007,1056164,16286,1072450,156518
Chilko,2008,477074,45259,522333,68731
Chilko,2009,1643617,187156,1830773,127367
Chilko,2010,2666978,78928,2745906,1181540
Chilko,2011,786305,85377,871682,457653
Chilko,2012,197621,25175,222796,90759
Chilko,2013,435384,51441,486825,624483
Chilko,2014,1554832,84803,1639635,669181
Chilko,2015,164947,48961,213908,429012
Chilko,2016,27278,10833,38111,66013
Chilko,2017,1097022,54111,1151133,212956
Chilko,2018,1473817,NA,NA,388737
Chilko,2019,NA,NA,NA,74636
Chilko,2020,NA,NA,NA,27054
Seymour,1948,29658,0,29658,1280
Seymour,1949,25617,0,25617,3476
Seymour,1950,161081,0,161081,4697
Seymour,1951,67964,731,68695,11504
Seymour,1952,11156,0,11156,2780
Seymour,1953,44870,0,44870,2907
Seymour,1954,428958,3444,432402,12463
Seymour,1955,308775,550,309325,5178
Seymour,1956,10971,1766,12737,1102
Seymour,1957,11959,0,11959,7106
Seymour,1958,188824,510,189334,44285
Seymour,1959,175192,368,175560,25473
Seymour,1960,8697,0,8697,1862
Seymour,1961,25649,0,25649,1957
Seymour,1962,169778,572,170350,27411
Seymour,1963,112265,1674,113939,26742
Seymour,1964,17994,504,18498,1321
Seymour,1965,34707,0,34707,2550
Seymour,1966,139745,1425,141170,12943
Seymour,1967,216733,2954,219687,7264
Seymour,1968,21963,145,22108,2064
Seymour,1969,14617,0,14617,3276
Seymour,1970,223705,0,223705,3603
Seymour,1971,132035,1934,133969,9463
Seymour,1972,56465,0,56465,1418
Seymour,1973,24381,0,24381,1150
Seymour,1974,247377,0,247377,25096
Seymour,1975,175012,4007,179019,15756
Seymour,1976,18193,191,18384,4898
Seymour,1977,53835,1444,55279,2883
Seymour,1978,256211,4984,261195,30757
Seymour,1979,92992,42223,135215,24866
Seymour,1980,45127,7711,52838,4616
Seymour,1981,26268,0,26268,5354
Seymour,1982,492244,13474,505718,27219
Seymour,1983,261161,7562,268723,14014
Seymour,1984,35743,100,35843,9148
Seymour,1985,32018,11226,43244,2684
